iter	Passed	Remaining
0	2	534
1	6	660
2	10	671
3	12	630
4	15	621
5	18	592
6	22	606
7	25	604
8	28	594
9	30	584
10	33	575
11	36	576
12	39	569
13	42	560
14	44	554
15	47	546
16	50	539
17	53	538
18	56	536
19	59	533
20	61	527
21	64	522
22	67	516
23	72	529
24	75	525
25	77	520
26	80	516
27	83	510
28	86	509
29	89	507
30	92	502
31	94	498
32	97	494
33	100	491
34	103	487
35	106	482
36	108	478
37	110	473
38	113	468
39	116	465
40	119	465
41	122	461
42	125	457
43	127	452
44	130	449
45	135	453
46	138	452
47	141	448
48	144	445
49	147	442
50	151	442
51	154	438
52	156	435
53	159	431
54	162	427
55	165	425
56	168	422
57	170	418
58	173	414
59	176	410
60	178	407
61	182	406
62	185	403
63	188	400
64	190	396
65	193	392
66	197	391
67	201	390
68	203	387
69	206	383
70	209	380
71	212	378
72	216	376
73	219	373
74	222	370
75	225	367
76	229	366
77	232	363
78	235	360
79	238	357
80	241	354
81	244	352
82	247	349
83	250	346
84	253	343
85	256	340
86	260	338
87	265	337
88	267	334
89	270	331
90	273	327
91	277	325
92	280	322
93	283	319
94	285	316
95	288	312
96	291	309
97	294	306
98	297	303
99	299	299
100	302	296
101	305	293
102	308	290
103	311	287
104	314	284
105	317	281
106	319	277
107	322	274
108	327	273
109	329	269
110	333	267
111	336	264
112	338	260
113	343	258
114	346	255
115	348	252
116	351	249
117	354	246
118	357	243
119	360	240
120	363	237
121	366	234
122	368	230
123	371	227
124	375	225
125	377	221
126	380	218
127	383	215
128	386	212
129	391	210
130	394	208
131	398	205
132	401	202
133	405	199
134	408	196
135	411	193
136	413	190
137	416	187
138	420	184
139	423	181
140	425	178
141	428	175
142	431	171
143	433	168
144	438	166
145	441	163
146	443	160
147	446	156
148	449	153
149	452	150
150	455	147
151	458	144
152	460	141
153	463	138
154	466	135
155	470	132
156	472	129
157	475	126
158	477	123
159	480	120
160	483	117
161	487	114
162	490	111
163	493	108
164	495	105
165	498	102
166	502	99
167	504	96
168	507	93
169	510	90
170	512	86
171	516	84
172	519	81
173	521	77
174	524	74
175	527	71
176	530	68
177	534	66
178	537	63
179	540	60
180	542	56
181	545	53
182	548	50
183	551	47
184	554	44
185	556	41
186	559	38
187	562	35
188	565	32
189	568	29
190	571	26
191	574	23
192	576	20
193	580	17
194	584	14
195	587	11
196	589	8
197	592	5
198	595	2
199	599	0
